Colonne1;year;record_number;pages;catalogue_title;authors
78362;1966;21217;[23, 24];"The Transmigration of shoals; a new Mediterranean fishing problem";Behrman, Daniel
20805;1966;21218;[30, 31, 32, 33];Hurdles in space broadcasting;Tchistiakov, Nicolaï I.
78370;1967;21757;[24, 25, 26];Ruben Dario and the resurrection of Hispano-American poetry;Rodríguez Monegal, Emir
78362;1966;21776;[25, 26, 27, 28, 29];Ancient scripts from the heart of Africa;Olderogge, Dmitri A.
16653;1966;21782;[15, 16, 17, 18, 19];Diving saucers and sea-going laboratories;
78370;1967;22385;[27, 28, 29];Great men, great events;
78362;1966;22635;[30, 31];Great men, great events;
78370;1967;23639;[30, 31, 32];The World Food Programme: a new form of aid for development;MacKenzie, Colin
22703;1966;23752;[10, 11, 12, 16, 17, 18];Cultural tourism, the unexploited treasure of economic development;
78231;1967;24541;[4, 5, 6, 7, 8, 9, 10];"U.S.S.R. today; metamorphosis of a continent";Mikhailov, Nikolai
23681;1966;24556;[10, 11, 12, 13, 14, 15];Drought knows no frontiers;Ash, Gordon
22703;1966;24779;[13, 14, 15];Sparking tomorrow's tourist explosion, 1: Turkey;
78231;1967;25432;[11, 12, 13, 14];From illiteracy to astronautics;Elyutin, Viacheslav
23681;1966;25433;[16, 17, 18, 19, 20, 21, 22];Rice, mainstay of life for 1,100 million human beings;Baron, Stanley
22703;1966;25694;[27, 28, 29, 30, 31, 32, 33];Sparking tomorrow's tourist explosion, 2: Peru;
23681;1966;26485;[23, 24];Education for a new agricultural revolution;
22703;1966;26619;[34, 35, 36, 37, 38, 39, 40];Sparking tomorrow's tourist explosion, 3: Iran;
23681;1966;27246;[25];Calling all villagers;
78451;1965;27375;[4, 5, 6];Monuments in peril: a world campaign to protect our cultural heritage;
23681;1966;27618;[26, 27, 28, 29, 30];For freedom from hunger;
78451;1965;27631;[7, 8, 9, 10];The New science of art conservation;Plenderleith, Harold J.
23681;1966;27678;[31];Satellites and computers may measure world's water;Behrman, Daniel
78451;1965;27680;[11, 12, 13];Venice, a sinking city;Gazzola, Piero
28352;1966;27981;[4];The Heart of the matter;Gagarin, Yuri|Schirra, Walter M.
78451;1965;27983;[14, 15, 16, 17];The Care of old paintings;
78451;1965;28446;[18, 19, 20, 21, 22, 23];Aphrodite's city resuscitated;
28352;1966;28994;[7, 8, 9, 10, 11, 12];It does not matter who reaches the moon first, what counts is the benefit to man';Blagonravov, Anatoly
78451;1965;29136;[24, 25];Map of UNESCO conservation missions;
28352;1966;29638;[12, 13, 14, 15, 16];Joint enterprises are now a going concern in the exciting field of space research';Frutkin, Arnold W.
78451;1965;29642;[26, 27, 30, 32];Stones also die;Sneyers, R.V.
28352;1966;29916;[17, 18, 35, 36, 37];Space flight and the rule of law;Pépin, Eugène
78451;1965;29927;[33, 34, 35, 36];The Menace of the bulldozers;Brew, John O.
28352;1966;30325;[24, 25, 26];Europe's growing stake in space science;Auger, Pierre
78451;1965;30446;[28, 29];Angkor before and after;
78231;1967;30745;[21, 27, 28, 29, 30];Reflections on Soviet culture;Gerasimov, Sergej A.
28352;1966;30746;[27, 28, 29, 30];Why we are outward bound;Feoktistov, Konstantin
78451;1965;30766;[37];To the young people of the world: a message from René Maheu, Director-General of UNESCO for the New Year 1965;UNESCO. Director-General, 1962-1974 (Maheu, R.)
78231;1967;31539;[22, 23, 24, 25, 26, 27];New horizons in Moscow;
28352;1966;31599;[30, 31, 32, 34];Lunar international laboratory;Friedman, Bruno
78231;1967;31775;[31, 32, 33, 34, 35, 36, 37];700,000 scientists in the U.S.S.R. in 1967;Lavrentiev, Mikhail
32667;1966;31776;[4, 5, 6, 7, 8, 9, 10];Ibn Khaldun, man of history;Bray, Barbara
31600;1965;31779;[9, 10, 12, 32];Words under a mask;Fersh, Seymour
78231;1967;31880;[38];A TV programme girdling the world;Latil, Pierre de
32667;1966;31939;[11, 12, 13, 14, 15];"Cracks in a continent; probing mysteries of the earth's crust in the rift valleys of Africa";Baker, Brian H.
31600;1965;32062;[13, 14];World population to double by end of century;United Nations. Dept of Economic and Social Affairs
78231;1967;32666;[39, 40, 41];Journey to Ethiopia's past;Howland, Richard H.
31600;1965;32721;[15, 16, 17, 18, 19, 20, 21];Sanctuaries astride frontiers;Bourlière, François
78371;1967;32971;[4, 5, 6, 7, 8, 9, 10, 11, 12, 45];The Mahabharata and the Ramayana, two great epics of India and South Asia;Basham, Arthur L.
32667;1966;32972;[22, 23, 24, 25, 26, 27, 28, 29];Why 1101=13: new approaches to mathematics teaching;Picard, Nicole
31600;1965;32976;[22, 23, 24, 25, 26];What TV is doing to our children;Schramm, Wilbur
78371;1967;32992;[13, 14, 15, 17];The Collective dream of a continent;Silva, Anil de
32667;1966;32993;[30, 31];Fair play, simply a question of honesty': international trophies for sportsmanship;
31600;1965;33009;[27, 28, 29, 30, 31];Ambassadors of art and history;Wenger, Otto Paul
32667;1966;33070;[33];One day's expenditure on arms';
78208;1965;33077;[2];1965: International Co-operation Year;
78208;1965;33174;[4, 5, 6, 7, 8, 32];The International prospects of science;Sissakian, Norajr Martirosovich
33144;1966;33223;[6, 7];Since wars begin in the minds of men, it is in the minds of men that the defences of peace must be constructed': Constitution of the United Nations Educational, Scientific and Cultural Organization;
78208;1965;33226;[8, 9];Educational progress around the world;
33144;1966;33279;[8, 9, 10, 11, 12, 13, 14];Two decades in the world of science;Calder, Ritchie
78208;1965;33280;[10, 11, 12, 13, 14, 15, 16];New world of teaching machines, or Brave new teaching machines?;Morello, Ted
74755;1980;40922;[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15];Victory in Nubia: Egypt, UNESCO and the world community in the greatest archaeological rescue campaign of all time, 1960-1980;Mohamed, Chehata Adam
74755;1980;40925;[16, 17, 18, 19];Victory in Nubia: the Sudan, UNESCO and the world community in the greatest archaeological rescue campaign of all time, 1960-1980;Sherif, Nagm-el-Din Mohamed
74755;1980;40926;[20, 21, 22, 23, 24, 70];Nubia unearthed: from prehistory to Pharaonic times;Säve-Söderbergh, Torgny
74755;1980;40930;[25, 26, 27, 28];Nubia's corridor of time: from the kingdom of Kush to the triumph of Islam;Adams, William Y.
74755;1980;40931;[46, 47, 70];The Holy isle of Philae;Edwards, Iorwerth Eiddon Stephen
74755;1980;40932;[49, 50, 51, 52];The Mysteries of Isis and Osiris;Daumas, François
74755;1980;40933;[53, 54, 55, 56, 57];The Magic of Abu Simbel;Desroches Noblecourt, Christiane
74755;1980;40934;[58, 59, 60, 61];Sermons in stones: the musings of a modern Egyptian poet before the temples of Abu Simbel;Al-Hakim, Tewfik
74755;1980;40935;[62, 63, 64, 65];The Flooded fortresses of Nubia;Vercoutter, Jean
74755;1980;40936;[66, 67, 68, 69];The Blessed land;Fernea, Robert A.
40945;1980;40962;[15, 16, 17, 18, 19, 20, 21, 22, 23, 24];Palladio: the master-builder of the Italian Renaissance;Cevese, Renato
40945;1980;40963;[29, 30, 31, 32, 33];Valcamonica: an Italian valley is the world's largest gallery of prehistoric art;Anati, Emmanuel
40945;1980;40964;[25, 26, 27, 28];To the North Pole on skis;Shparo, Dmitri I.
40945;1980;40965;[4, 5, 6, 7, 8];The Games people play;Raabe, Juliette
74756;1980;40985;[6, 7, 8, 9, 10, 11];Highlands and islands: ecosystems in danger;Di Castri, Francesco|Glaser, Gisbert
74756;1980;40987;[28, 29, 30, 31, 32, 33, 38];Maestro computer: exploring the new frontiers of sound;Boulez, Pierre
74756;1980;40989;[33, 34, 35, 36, 37];Sex stereotypes in the classroom;Saunders, Fay E.
74756;1980;40993;[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27];The Bauhaus, 1919-1933: design for living in the modern world;Schnaidt, Claude
74757;1980;41011;[4, 5, 6, 7, 8];Of mammoths and men: conservation for human survival;Batisse, Michel
74757;1980;41013;[20, 21, 22, 23, 24];The Human touch: man has been shaping his environment ever since prehistoric times;Di Castri, Francesco
74757;1980;41014;[25, 26, 27];Our evolutionary responsibility;Frankel, Otto Herzberg
74757;1980;41041;[10, 11, 12, 13, 14];Against the grain: at present rates one third of the world's cropland will have disappeared within twenty years;
74757;1980;41042;[15, 16, 17, 18, 19];Safety in numbers: ethics and self-interest demand the preservation of genetic diversity;
74757;1980;41044;[28, 29];Living on borrowed time: humanity is rapidly overdrawing its account with nature;
74757;1980;41049;[33, 34, 35, 38];The Global commons;
74757;1980;41051;[36, 37];A World conservation strategy;
74758;1980;41067;[12, 13];Literacy and the liberation of a people;Cortázar, Julio
74758;1980;41068;[22, 23, 26];Secrets of the written code: mother tongues and access to literacy;Ryan, John W.
74758;1980;41069;[27, 28, 29, 30];Letters for a young nation;Freire, Paulo
74758;1980;41070;[31, 32, 33];UNRWA and UNESCO: a thirty-year partnership, a comprehensive education service for Palestine refugees;Feridun, Hussein Husnu
74758;1980;41071;[34];The Reading habit;Staiger, Ralph C.
74758;1980;41072;[4, 5, 6, 7, 8, 9];Literacy: a right denied to 800 million;
74758;1980;41073;[10];"Nicaragua's nation-wide literacy campaign; an appeal by the Director-General of UNESCO";
74758;1980;41074;[19, 20, 21];Unwritten wisdom;
74760;1980;41075;[4, 5, 6, 7, 8, 9];The Invisible woman: a conspiracy of silence conceals and devalues women's essential contributions to economic life;Stavenhagen, Rodolfo
74760;1980;41076;[10, 11, 12];The Plight of the woman-breadwinner;Buvinic, Mayra|Youssef, Nadia Haggag|Schumacher, Ilsa
74760;1980;41077;[13, 14, 15, 16, 17];Women and apartheid: black South African women stand on the lowest rung of the ladder of oppression;Ginwala, Frene|Mashiane, Shirley
74760;1980;41078;[20, 21, 22, 23, 24, 25];Male chauvinism in the mass media;Gallagher, Margaret
74760;1980;41092;[26, 27];Women in Soviet society today;Birman, Alexander
74760;1980;41093;[28, 29, 30];Breaking the male stranglehold;Westkott, Marcia
74760;1980;41095;[31, 32];Africa: a new look from the inside;Tadesse, Zenebework
74760;1980;41096;[33];Asia: a kaleidoscope of cultures;Dube, Leela
74760;1980;41098;[34];Latin America: a twofold servitude?;Arizpe, Lourdes
74760;1980;41099;[6, 7];Yardsticks of social status;Solomon, Erwin S.
74761;1980;41111;[33, 34];Wonders of the world;Fradier, Georges
74761;1980;41121;[5];Nature and culture, the human heritage: the international convention;Bolla, Gérard
74761;1980;41125;[5];Nature and culture, the human heritage: a new partnership in the making;Batisse, Michel
74761;1980;41127;[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32];The World Heritage List: the first 57 entries;
74642;1980;41128;[5, 6, 7, 8, 9];Education, disarmament and human rights;Torney, Judith Vollmar|Gambrell, Leonard
74642;1980;41129;[10, 11, 12, 13];World opinion: the weapon to end all weapons;Waldheim-Natural, Liselotte
74642;1980;41130;[14, 15];Disarmament education and social justice: arms are the symptom of a deep-seated ill which must be tackled at the roots;Díaz, Jaime
74642;1980;41131;[16];The Structure of hunger;Huq, Muzammel
74642;1980;41132;[17];Costa Rica: the country that abolished its army;Rodríguez Bolaños, Julio
74642;1980;41133;[20, 21, 22, 23, 24];International law and the right to possess arms;Röling, Bert V.A.
74642;1980;41134;[25, 26];From man of war to man of peace;Brabyn, Howard
74642;1980;41135;[26, 27, 28, 29];Peace begins in the classroom;Sokolova, Emilia Semenovna|Ivanyan, Inna
74642;1980;41136;[28, 29];The Soviet Peace Fund;Polevoi, Boris
74642;1980;41137;[30, 31];Teaching disarmament at universities: a world survey;Gambrell, Leonard
74642;1980;41138;[31, 32, 33];Education for international understanding: UNESCO's Associated Schools System;Morren, Paul
74760;1980;41164;[18, 19];Women speak;
42993;1980;42994;[19, 20, 21, 22, 23, 24];The World's forgotten army of child workers;Mendelievich, Elías
42993;1980;42995;[24, 25, 26, 27];Stone Age myth-sculptors of Siberia;Laritchev, Vitali E.
42993;1980;42996;[29, 30, 31, 32];The Psychology of marbles;Piaget, Jean
74765;1980;42997;[4, 5, 6, 7, 8];Avicenna: Ibn Sina, a universal genius;Asimov, Muhamed S.
74765;1980;42998;[9, 10, 11, 12];My odyssey;Avicenna
74765;1980;42999;[13, 14, 15, 16, 17];The Canon of medicine: a million-word thesaurus of medical knowledge;Saïd, Hakim Mohammed
74765;1980;43002;[18, 19];Notes and nostrums from Dr. Avicenna's casebook;Aroua, Ahmed
74765;1980;43003;[20, 21, 22, 28];Al-Shifa: the world in a book;Madkur, Ibrahim Bayumi
74765;1980;43005;[29, 30, 31];A Philosopher under fire: Avicenna's doctrines stirred up controversy in his own time and later;Davari, Reza
74765;1980;43007;[32, 33, 34, 35, 38, 39];How Ibn Sina became Avicenna: transmitted to Europe, his writings sparked off an intellectual revival;Gómez Nogales, Salvador
74765;1980;43008;[41, 44];A Forerunner of modern science;Sadykov, Abid Sadikovich
74765;1980;43009;[45];The Secret of the stars;Unver, Ahmed Süheyl
74766;1980;43011;[4, 5, 6, 9];The Dawn of greatness: 'had he produced nothing after 1907, Picasso would still have been one of the great masters of 20th century art';Suslov, Vitali Alexandrovich
74766;1980;43018;[11];The Man and his work: a chronological guide;Subirana, Rosa María
74766;1980;43019;[13, 14];"A Watershed of modern art: painted in 1907, ""Les Demoiselles d'Avignon"" revolutionized our vision of the world";Amón, Santiago
74766;1980;43022;[14, 15, 16, 17, 18];Guernica: a universal image of the inhumanity of war;Palau i Fabre, Josep
74766;1980;43025;[18];A Frozen nightmare;Okamoto, Taro
74766;1980;43027;[20, 21, 22, 23, 24];Picasso's distortions: 'I am intent on resemblance, a resemblance more real than the real';Golding, John
74766;1980;43029;[23];What is cubism?;Argan, Giulio Carlo
74766;1980;43030;[29, 30, 31];Picasso's debt to African art;Kiflé Sélassié, Beseat
74766;1980;43031;[32, 33];The Metamorphosis of a bull;Parmelin, Hélène
74766;1980;43032;[34, 35, 36, 37];Beauty and the beast;Penrose, Roland
74766;1980;43033;[38, 39, 40];Picasso the sculptor;Gallego, Julian
74766;1980;43034;[41, 42, 43];The Mythical world of Picasso;Ciríci Pellicer, Alexandre
74766;1980;43035;[47, 48, 49, 50];The Artist and his models: a mercurial, unceasing analysis of the human face;Bozo, Dominique
74734;1981;43638;[5, 6];The Handicapped tenth of humanity;UNESCO. Director-General, Deputy, 1978-1981 (Mayor, F.)
74734;1981;43639;[10, 11];The Courage to take risks;Roberts, Edward V.
74734;1981;43640;[12, 13];Seeing with my hands;Skorokhodova, Olga I.
74734;1981;43658;[14, 15];The Handicap of prejudice;Mba, Peter O.
74734;1981;43659;[17];I am so afraid they will laugh at me;Lundahl, Barbro
74734;1981;43660;[18, 20, 21];The UNESCO Braille Courier;Potter, Frederick H.
74734;1981;43661;[22];Louis Braille: a touch of genius;Guillemet, Serge
74734;1981;43662;[23];UNESCO and the International Year of Disabled Persons;Sundberg, Nils Ivar
74734;1981;43664;[25, 26, 27, 28];Disability and the developing world;Acton, Norman
74734;1981;43665;[30, 31];A Future for every blind child: ABC International;Posmowski, Pierrette
74734;1981;43670;[7];The United Nations Declaration on the Rights of Disabled Persons;
74768;1979;43979;[4, 5, 6, 7, 8, 34];The Silenced majority: two thousand million children in search of their rights;Boulding, Elise
74768;1979;43980;[9, 10, 11, 12];Cradled in hunger: half the world's children under six are victims of malnutrition;Monckeberg Barros, Fernando
74768;1979;44004;[13, 14, 15, 16];The Sting in the fairy tale;Adoum, Jorge Enrique
74768;1979;44010;[17, 20, 21, 22];The Road to self-expression: awakening the latent language skills of handicapped children;McKenna, Anne
74768;1979;44012;[18, 19];Declaration of the rights of the child;
74768;1979;44015;[27, 28, 29, 30, 31];What's in a name?;Gratiot-Alphandéry, Hélène
74768;1979;44016;[32, 33];Children in the never, never land of exile;Comité intermouvements auprès des évacués
44064;1979;44017;[4, 5, 6, 7, 8, 9];Are we heating up our planet? A new global programme to examine man's impact on the climate;Kellogg, William W.
44064;1979;44037;[10, 11, 12, 13, 14, 15];The Vital statistics of the Mayan language;Kuzmishchev, Vladimir A.
44064;1979;44068;[35, 36, 37];A World's-eye view of history;Barraclough, Geoffrey
74769;1979;44073;[4, 5, 6, 7, 8, 9];Television in focus;Halloran, James Dermot
74769;1979;44078;[10, 11, 12];Mass media: the new Pied Piper;Goto, Kazuhiko
74769;1979;44083;[13, 14];Children are born actors;Truffaut, François
74769;1979;44086;[15, 16, 17];African childhood;Laye, Camara
74769;1979;44090;[20, 21, 22, 24];Children's books in an audio-visual age;Soriano, Marc
74769;1979;44091;[27];UNESCO and the International Year of the Child;
74769;1979;44092;[32, 33];What should we do with whizzkids?;Petrovsky, Arthur Vladimirovich
74769;1979;44093;[28, 29, 30, 34];Racism in textbooks: Through other eyes;Ortego, Hugo O.
74769;1979;44095;[31];Racism in textbooks: How racism takes root;Banfield, Beryle
74770;1979;44106;[15, 16];The Arms race: The Quality spiral;
74770;1979;44107;[10, 11, 12, 13, 14];New technologies for overkill;
74770;1979;44108;[6, 7, 8, 9];The Arms race: Military expenditure, the ever-rising tide;
74770;1979;44160;[20, 21, 22, 23, 24];Human want: the spin-off from military waste;
74770;1979;44161;[16, 17];The Deadliest weapon of them all?;
74770;1979;44164;[26, 27];Three myths that die hard;
74770;1979;44168;[29, 30];The Military establishment;
74770;1979;44171;[31, 32];Can the arms race be halted?;
44064;1979;44369;[28, 29, 30, 31, 32, 33];The Bewitched reality of Haitian art;Depestre, René
44064;1979;44371;[15];The Ancient ways of the Mayas;Knorozov, Yuri
74771;1979;44480;[4, 5, 6, 7, 8];Albert Einstein, 1879-1955: the story of a genius;Ehlers, Jürgen|Symposium on the Impact of Modern Scientific Ideas on Society Munich, Germany FR 1978
74771;1979;44481;[31, 32, 33];The Scientist's dilemma;Einstein, Albert
74771;1979;44484;[9, 10, 11, 12, 13, 16];Relativity in a nutshell;Asimov, Isaac
74771;1979;44491;[17, 20, 21, 22, 23];The Test of time;Dirac, Paul Adrien Maurice|Symposium on the Impact of Modern Scientific Ideas on Society Munich, Germany FR 1978
74771;1979;44506;[24, 25, 27, 28, 29];"The Mole and the butterfly; reflections on Einstein, science and subjectivity";Thuillier, Pierre
74771;1979;44507;[26, 27];From Empedocles to Newton: a constellation of cosmologists;Thuillier, Pierre
74771;1979;44508;[29, 30, 31];The Frontiers of science;Migdal, Arkadii B.
44515;1979;44513;[4, 5, 6, 7, 8, 9, 10, 11, 24];A New dawn for Sukhothai: with UNESCO aid Thailand is restoring an ancient metropolis to its former splendour;Diskul, M.C. Subhadradis
44515;1979;44514;[12, 13, 14, 15, 16, 17];Common heritage or licence to exploit? A new world economic order, a hard look at its meaning for international law;Bedjaoui, Mohammed
44515;1979;44520;[22, 23, 32, 33, 34];The Mystery of Elche: a seven-century-old sacred drama performed each year in a Spanish city;Langlois, Juan Carlos
44515;1979;44522;[35, 36, 37, 38];Janusz Korczak, the doctor who lived and died for children;Tomkiewicz, Stanislaw|Maffioli, Béatrice
44515;1979;44523;[39, 40, 41];Remembering Margaret Mead;Lévi-Strauss, Claude
74776;1979;44527;[4, 5, 6];Avicenna: hearts and flowers;Saïd, Hakim Mohammed
74776;1979;44528;[6, 7, 8];Medicinal plants make a comeback;Attisso, Michel A.
74776;1979;44530;[8, 9, 10, 11, 12, 13, 16];Medicine's 'green revolution';Pelt, Jean Marie
74776;1979;44533;[16, 17, 18, 19, 42];African medicinal plants under the microscope;Ekong, Donald E.U.
74735;1981;44536;[4, 5, 6, 7, 8];Mass tourism and cultural traditions;Bouhdiba, Abdelwahab
74735;1981;44538;[9];"Tourism; passport to development?";Kadt, Emanuel Jehuda de
74735;1981;44540;[20, 21, 22, 23];Brazil's Museum of the Unconscious: a bold experiment in psychotherapy and art;Camargo e Almeida-Moro, Fernanda de
74735;1981;44541;[24, 25, 26, 27];High-speed language learning: how to study while you 'sleep';Vaisburd, Mira
74735;1981;44544;[28, 29, 30, 31, 32, 33];The Resurgence of sail;Gillette, Arthur Lavery
74735;1981;44549;[11, 12, 13, 14, 15, 16, 17];The Water decade: a world-wide effort to provide clean water and adequate sanitation for all by 1990;
74736;1981;44555;[5];Science in the service of art;Hours, Magdeleine
74736;1981;44556;[21, 22];Art, archaeology and the atom: nuclear dating techniques and how they work;Keisch, Bernard
74736;1981;44557;[24, 25, 26, 34];A Rogues' gallery of fakes;Fleming, Stuart J.
74736;1981;44560;[27, 28];The Principles of conservation;Feilden, Bernard M.
74736;1981;44562;[30, 31, 32];A Museum in a suitcase: three-dimensional 'replicas' of works of art, produced by the astonishing technique of holography;Yavtushenko, Ivan Grigorievich|Markov, Vladimir Borisovich
74736;1981;44564;[6, 7];Lascaux: saving a sanctuary of prehistoric art;
74736;1981;44569;[8, 9, 10, 11];The Hall of Bulls: reconstituted masterpieces of early man;
74736;1981;44576;[12, 13, 14];The Scientific investigation of painting;
74736;1981;44578;[15];Heat treatment unmasks a sham Zapotec;
74736;1981;44580;[16];X-ray microfluorescence and a Merovingian treasure;
74736;1981;44583;[17, 18];Ancient metallurgy: the computer is turning up a mine of information;
74736;1981;44584;[20, 21];Anatomy of a harp;
